id;nomSite;1;2;3;4;5;6;7;8;9;10;11;12
309;ST MARCELLIN;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
310;ST MARTIN HERES CROIX ROUGE;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
311;URIAGE;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
312;ST PIERRE DE CHARTREUSE BPX;1;60;60;60;60;60;60;60;60;60;60;60
313;SASSENAGE;10;600;600;600;600;600;600;600;600;600;600;600
314;GRENOBLE DEPORTES;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
315;TENCIN;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
316;LA TOUR DU PIN;2;120;120;120;120;120;120;120;120;120;120;120
317;TULLINS;2;120;120;120;120;120;120;120;120;120;120;120
318;VARCES ALLIERES RISSET;4;240;240;240;240;240;240;240;240;240;240;240
319;GRENOBLE OHM;8;480;480;480;480;480;480;480;480;480;480;480
320;ECHIROLLES BP NEW;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
321;VIENNE PRINCIPAL;5;300;300;300;300;300;300;300;300;300;300;300
322;VIF;12;720;720;720;720;720;720;720;720;720;720;720
323;VILLARD DE LANS;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
324;VILLEFONTAINE;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
325;VILLETTE D ANTHON;12;720;720;720;720;720;720;720;720;720;720;720
326;VILLETTE DE VIENNE;5;300;300;300;300;300;300;300;300;300;300;300
327;VINAY;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
328;VIZILLE;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
329;VOIRON;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
330;GRAND VOIRON PPDC;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
331;VOREPPE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
332;CHIRENS ILOT FACTEUR;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
333;GARAGES STENDHAL;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
334;L'ISLE D'ABEAU;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
335;GRENOBLE EUROPOLE;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
336;LA VERPILLERE CDIS;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
337;ECHIROLLES DSEM;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
338;LE CHEYLAS GAB;1;60;60;60;60;60;60;60;60;60;60;60
339;BOURGOIN ILOT FACTEUR;10;600;600;600;600;600;600;600;600;600;600;600
340;ST MARTIN D HERES ILOT FACTEUR;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
341;BOURG D'OISANS DELOC;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
342;ETG GRENOBLE;2;120;120;120;120;120;120;120;120;120;120;120
343;ALLEMONT GAB HORS SITE;2;120;120;120;120;120;120;120;120;120;120;120
344;VEZERONCE CURTIN PDC;4;240;240;240;240;240;240;240;240;240;240;240
345;VOIRON ACCUEIL ENTREPRISES;8;480;480;480;480;480;480;480;480;480;480;480
346;LE PLATEAU DES PETITES ROCHES;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
347;VARCES PDC;5;300;300;300;300;300;300;300;300;300;300;300
348;GRENOBLE BERRIAT;12;720;720;720;720;720;720;720;720;720;720;720
349;GRENOBLE ILE VERTE;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
350;GRENOBLE FOCH DEBUSSY;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
351;GRENOBLE HP;12;720;720;720;720;720;720;720;720;720;720;720
352;GRENOBLE LIONEL TERRAY;5;300;300;300;300;300;300;300;300;300;300;300
353;ST MARTIN D HERES - reste friche Pkext01;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
354;ST MARTIN D HERES;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
355;GRENOBLE EAUX CLAIRES;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
356;GRENOBLE REPUBLIQUE;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
357;CHAMBERY HOTEL DE VILLE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
358;LE BOURGET DU LAC BPX;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
359;AIGUEBELLE;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
360;AIGUEBLANCHE;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
361;CHANAZ;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
362;ALBERTVILLE CC;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
363;CHAMBERY SYNDICATS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
364;GRESY SUR AIX PDC;1;60;60;60;60;60;60;60;60;60;60;60
365;ALBERTVILLE BP;10;600;600;600;600;600;600;600;600;600;600;600
366;AIME;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
367;BOURG SAINT MAURICE;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
368;ST ALBAN EN LEYSSE PDC;2;120;120;120;120;120;120;120;120;120;120;120
369;ALBENS;2;120;120;120;120;120;120;120;120;120;120;120
370;AIX LES BAINS UD;4;240;240;240;240;240;240;240;240;240;240;240
371;CHAMBERY LE HAUT;8;480;480;480;480;480;480;480;480;480;480;480
372;HERMILLON;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
373;PONT DE BEAUVOISIN PDC;5;300;300;300;300;300;300;300;300;300;300;300
374;BARBERAZ BPX;12;720;720;720;720;720;720;720;720;720;720;720
375;LA BATHIE;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
376;BEAUFORT SUR DORON;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
377;BESSANS;12;720;720;720;720;720;720;720;720;720;720;720
378;SAVOIE TECHNOLAC AP;5;300;300;300;300;300;300;300;300;300;300;300
379;BOURG ST MAURICE;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
380;LES ARCS 1800;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
381;BOZEL;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
382;LA BRIDOIRE;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
383;CHAMBERY DD/RP;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
384;LA CHAMBRE;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
385;LE CHATELARD;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
386;CHINDRIEUX;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
387;COGNIN;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
388;LES ECHELLES;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
389;FRONTENEX;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
390;GILLY SUR ISERE;1;60;60;60;60;60;60;60;60;60;60;60
391;HAUTELUCE;10;600;600;600;600;600;600;600;600;600;600;600
392;LANSLEBOURG MONTCENIS;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
393;LESCHERAINES;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
394;MODANE HP;2;120;120;120;120;120;120;120;120;120;120;120
395;LA MOTTE SERVOLEX;2;120;120;120;120;120;120;120;120;120;120;120
396;NOVALAISE BPX;4;240;240;240;240;240;240;240;240;240;240;240
397;ST ALBAN LEYSSE PLANCENAY;8;480;480;480;480;480;480;480;480;480;480;480
398;LA RAVOIRE;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
399;LA ROCHETTE;5;300;300;300;300;300;300;300;300;300;300;300
400;ST BALDOPH;12;720;720;720;720;720;720;720;720;720;720;720
401;STE HELENE SUR ISERE;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
402;ST JEAN DE MAURIENNE;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
403;LES MENUIRES;12;720;720;720;720;720;720;720;720;720;720;720
404;ST MICHEL DE MAURIENNE;5;300;300;300;300;300;300;300;300;300;300;300
405;TIGNES PRINCIPAL;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
406;UGINE;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
407;VAL D'ISERE;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
408;VALLOIRE;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
409;VIVIERS DU LAC;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
410;YENNE;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
411;CHAMBERY LE BIOLLAY;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
412;AIX LES BAINS CASINO;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
413;BUREAU BANCAIRE LA RAVOIRE;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
414;VICTORIA BANCAIRE;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
415;COURCHEVEL 1850;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
416;MERIBEL LES ALLUES;1;60;60;60;60;60;60;60;60;60;60;60
417;MONTMELIAN;10;600;600;600;600;600;600;600;600;600;600;600
418;MOUTIERS HP;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
419;CHAMBERY CT;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
420;CHAMBERY SUD;2;120;120;120;120;120;120;120;120;120;120;120
421;ST MARTIN BELLEVILLE PDC;2;120;120;120;120;120;120;120;120;120;120;120
422;ALBERTVILLE STE THERESE GA;4;240;240;240;240;240;240;240;240;240;240;240
423;BONNEVILLE AYSE PDC;8;480;480;480;480;480;480;480;480;480;480;480
424;ABONDANCE;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
425;SEVRIER RIVE GAUCH DU LAC CDIS;5;300;300;300;300;300;300;300;300;300;300;300
426;SAINT JORIOZ;12;720;720;720;720;720;720;720;720;720;720;720
427;MEYTHET BUREAU DE POSTE;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
428;GROISY 'LE LACHAT'- VILLE DE GROISY;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
429;ANNECY PARMELAN;12;720;720;720;720;720;720;720;720;720;720;720
430;THYEZ;5;300;300;300;300;300;300;300;300;300;300;300
431;CLUSES CDIS;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
432;VEYRIER DU LAC GA;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
433;CUSY (GA);46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
434;CRAN GEVRIER CHORUS;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
435;COLLONGES / SALEVE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
436;VALLEIRY LES CITADIES;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
437;TANINGES GRAND PUBLIC;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
438;GRUFFY CLOS GUEVIN;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
439;EVIAN CDIS;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
440;TANINGES CDIS;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
441;DOUVAINE CDIS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
442;AMBILLY;1;60;60;60;60;60;60;60;60;60;60;60
443;SAINT PAUL EN CHABLAIS;10;600;600;600;600;600;600;600;600;600;600;600
444;THONES CDIS;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
445;THONON CDIS;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
446;ANNECY CDIS;2;120;120;120;120;120;120;120;120;120;120;120
447;ANNECY LE VIEUX;2;120;120;120;120;120;120;120;120;120;120;120
448;SALLANCHES CDIS;4;240;240;240;240;240;240;240;240;240;240;240
449;ANNEMASSE PARC;8;480;480;480;480;480;480;480;480;480;480;480
450;RUMILLY CC;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
451;LA ROCHE SUR FORON CC;5;300;300;300;300;300;300;300;300;300;300;300
452;EVIAN BP;12;720;720;720;720;720;720;720;720;720;720;720
453;EPAGNY BP/RGP;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
454;SEVRIER CDIS EXTENSION;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
455;MARGENCEL;12;720;720;720;720;720;720;720;720;720;720;720
456;ANNECY COEUR DE VILLE;5;300;300;300;300;300;300;300;300;300;300;300
457;LE PAS DE L'ECHELLE - BP;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
458;CHATEL BP;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
459;ST GINGOLPH BP;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
460;LA ROCHE SUR FORON;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
461;PASSY SAINT GERVAIS;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
462;CRANVES SALES PPDC;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
463;ABONDANCE PDC;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
464;CRAN GEVRIER VALLON;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
465;LA BALME DE SILLINGY;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
466;VEIGY FONCENEX;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
467;POISY LA BALME-ANNECY OUEST PDC;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
468;BELLEVAUX;1;60;60;60;60;60;60;60;60;60;60;60
469;BOEGE;10;600;600;600;600;600;600;600;600;600;600;600
470;BONNE;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
471;BONS EN CHABLAIS;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
472;CHAMONIX MONT BLANC;2;120;120;120;120;120;120;120;120;120;120;120
473;CLUSES;2;120;120;120;120;120;120;120;120;120;120;120
474;CRAN GEVRIER ANNECY CTC;4;240;240;240;240;240;240;240;240;240;240;240
475;CRANVES SALES;8;480;480;480;480;480;480;480;480;480;480;480
476;CRUSEILLES;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
477;DOUSSARD;5;300;300;300;300;300;300;300;300;300;300;300
478;DOUVAINE;12;720;720;720;720;720;720;720;720;720;720;720
479;ANNECY CHAVANOD PARC ALTAIS DEDT;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
480;FAVERGES;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
481;CLUSES LIBERATION;12;720;720;720;720;720;720;720;720;720;720;720
482;FRANGY;5;300;300;300;300;300;300;300;300;300;300;300
483;GAILLARD;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
484;GRAND BORNAND;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
485;MAGLAND;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
486;MARNAZ;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
487;MEGEVE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
488;MENTHON SAINT BERNARD;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
489;POISY VILLAGE;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
490;PRINGY;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
491;REIGNIER;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
492;RUMILLY;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
493;SAINT GERVAIS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
494;SAINT JEAN DE SIXT;1;60;60;60;60;60;60;60;60;60;60;60
495;ST JEOIRE EN FAUCIGNY;10;600;600;600;600;600;600;600;600;600;600;600
496;SAINT JULIEN EN GENEVOIS CENTRE;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
497;SAINT PIERRE FAUCIGNY;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
498;SALLANCHES;2;120;120;120;120;120;120;120;120;120;120;120
499;SAMOENS;2;120;120;120;120;120;120;120;120;120;120;120
500;SCIONZIER;4;240;240;240;240;240;240;240;240;240;240;240
501;SEYSSEL;8;480;480;480;480;480;480;480;480;480;480;480
502;TALLOIRES;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
503;THONES;5;300;300;300;300;300;300;300;300;300;300;300
504;THORENS GLIERES;12;720;720;720;720;720;720;720;720;720;720;720
505;CRANVES SALES PARCHET;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
506;MARIGNIER 2;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
507;VILLE LA GRAND;12;720;720;720;720;720;720;720;720;720;720;720
508;VIRY;5;300;300;300;300;300;300;300;300;300;300;300
509;CRAN GEVRIER TERTIAIRE (MAISON DE L''HABITAT);65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
510;YVOIRE GAB;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
511;LULLIN GAB;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
512;ARGONAY PPDC MF;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
513;BONNEVILLE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
514;CHAMONIX VIGIE PDC;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
515;VIRY COURRIER;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
516;VILLE EN SALLAZ;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
517;CHAVANOD DV;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
518;FRANGY GRAND PONT;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
519;MONT SAXONNEX GAB;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
520;GIEZ ILOT;1;60;60;60;60;60;60;60;60;60;60;60
521;MUSIEGES COURRIER;10;600;600;600;600;600;600;600;600;600;600;600
522;CHAVANOD DSEM / CSRH COURRIER;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
523;CHEDDE;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
524;LE FAYET;2;120;120;120;120;120;120;120;120;120;120;120
525;ANNECY LES FINS;2;120;120;120;120;120;120;120;120;120;120;120
526;MORZINE;4;240;240;240;240;240;240;240;240;240;240;240
527;ANNECY NOVEL;8;480;480;480;480;480;480;480;480;480;480;480
528;THONON LES BAINS;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
529;CLUSES LA SARDAGNE (G.A);5;300;300;300;300;300;300;300;300;300;300;300
530;ANNEMASSE PAL;12;720;720;720;720;720;720;720;720;720;720;720
531;LOCAL POUR SYNDICAT CGT;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
532;ALBY SUR CHERAN;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
533;SEYNOD;12;720;720;720;720;720;720;720;720;720;720;720
